constructorId,points,position,positionText,wins
red_bull,498.0,1,1,9
mclaren,454.0,2,2,5
ferrari,396.0,3,3,5
mercedes,214.0,4,4,0
renault,163.0,5,5,0
williams,69.0,6,6,0
force_india,68.0,7,7,0
sauber,44.0,8,8,0
toro_rosso,13.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,650.0,1,1,12
mclaren,497.0,2,2,6
ferrari,375.0,3,3,1
mercedes,165.0,4,4,0
renault,73.0,5,5,0
force_india,69.0,6,6,0
sauber,44.0,7,7,0
toro_rosso,41.0,8,8,0
williams,5.0,9,9,0
lotus_racing,0.0,10,10,0
hrt,0.0,11,11,0
virgin,0.0,12,12,0
red_bull,460.0,1,1,7
ferrari,400.0,2,2,3
mclaren,378.0,3,3,7
lotus_f1,303.0,4,4,1
mercedes,142.0,5,5,1
sauber,126.0,6,6,0
force_india,109.0,7,7,0
williams,76.0,8,8,1
toro_rosso,26.0,9,9,0
caterham,0.0,10,10,0
marussia,0.0,11,11,0
hrt,0.0,12,12,0
red_bull,596.0,1,1,13
mercedes,360.0,2,2,3
ferrari,354.0,3,3,2
lotus_f1,315.0,4,4,1
mclaren,122.0,5,5,0
force_india,77.0,6,6,0
sauber,57.0,7,7,0
toro_rosso,33.0,8,8,0
williams,5.0,9,9,0
marussia,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,701.0,1,1,16
red_bull,405.0,2,2,3
williams,320.0,3,3,0
ferrari,216.0,4,4,0
mclaren,181.0,5,5,0
force_india,155.0,6,6,0
toro_rosso,30.0,7,7,0
lotus_f1,10.0,8,8,0
marussia,2.0,9,9,0
sauber,0.0,10,10,0
caterham,0.0,11,11,0
mercedes,703.0,1,1,16
ferrari,428.0,2,2,3
williams,257.0,3,3,0
red_bull,187.0,4,4,0
force_india,136.0,5,5,0
lotus_f1,78.0,6,6,0
toro_rosso,67.0,7,7,0
sauber,36.0,8,8,0
mclaren,27.0,9,9,0
manor,0.0,10,10,0
mercedes,765.0,1,1,19
red_bull,468.0,2,2,2
ferrari,398.0,3,3,0
force_india,173.0,4,4,0
williams,138.0,5,5,0
mclaren,76.0,6,6,0
toro_rosso,63.0,7,7,0
haas,29.0,8,8,0
renault,8.0,9,9,0
sauber,2.0,10,10,0
manor,1.0,11,11,0
mercedes,668.0,1,1,12
ferrari,522.0,2,2,5
red_bull,368.0,3,3,3
force_india,187.0,4,4,0
williams,83.0,5,5,0
renault,57.0,6,6,0
toro_rosso,53.0,7,7,0
haas,47.0,8,8,0
mclaren,30.0,9,9,0
sauber,5.0,10,10,0
mercedes,655.0,1,1,11
ferrari,571.0,2,2,6
red_bull,419.0,3,3,4
renault,122.0,4,4,0
haas,93.0,5,5,0
mclaren,62.0,6,6,0
force_india,52.0,7,7,0
sauber,48.0,8,8,0
toro_rosso,33.0,9,9,0
williams,7.0,10,10,0
mercedes,739.0,1,1,15
ferrari,504.0,2,2,3
red_bull,417.0,3,3,3
mclaren,145.0,4,4,0
renault,91.0,5,5,0
toro_rosso,85.0,6,6,0
racing_point,73.0,7,7,0
alfa,57.0,8,8,0
haas,28.0,9,9,0
williams,1.0,10,10,0
mercedes,573.0,1,1,13
red_bull,319.0,2,2,2
mclaren,202.0,3,3,0
racing_point,195.0,4,4,1
renault,181.0,5,5,0
ferrari,131.0,6,6,0
alphatauri,107.0,7,7,1
alfa,8.0,8,8,0
haas,3.0,9,9,0
williams,0.0,10,10,0
mercedes,613.5,1,1,9
red_bull,585.5,2,2,11
ferrari,323.5,3,3,0
mclaren,275.0,4,4,1
alpine,155.0,5,5,1
alphatauri,142.0,6,6,0
aston_martin,77.0,7,7,0
williams,23.0,8,8,0
alfa,13.0,9,9,0
haas,0.0,10,10,0
red_bull,759.0,1,1,17
ferrari,554.0,2,2,4
mercedes,515.0,3,3,1
alpine,173.0,4,4,0
mclaren,159.0,5,5,0
alfa,55.0,6,6,0
aston_martin,55.0,7,7,0
haas,37.0,8,8,0
alphatauri,35.0,9,9,0
williams,8.0,10,10,0
