raceId,driverId,constructorId,number,position,positionText,grid,points,laps,fastestLap,fastestLapTime,status
British Grand Prix,max_verstappen,red_bull,33,1,1,2,3,17,14,1:30.013,Finished
British Grand Prix,hamilton,mercedes,44,2,2,1,2,17,17,1:29.937,Finished
British Grand Prix,bottas,mercedes,77,3,3,3,1,17,17,1:29.958,Finished
British Grand Prix,leclerc,ferrari,16,4,4,4,0,17,16,1:30.163,Finished
British Grand Prix,norris,mclaren,4,5,5,6,0,17,16,1:30.566,Finished
British Grand Prix,ricciardo,mclaren,3,6,6,7,0,17,17,1:30.640,Finished
British Grand Prix,alonso,alpine,14,7,7,11,0,17,17,1:31.773,Finished
British Grand Prix,vettel,aston_martin,5,8,8,10,0,17,17,1:31.687,Finished
British Grand Prix,russell,williams,63,9,9,8,0,17,17,1:32.208,Finished
British Grand Prix,ocon,alpine,31,10,10,13,0,17,16,1:32.183,Finished
British Grand Prix,sainz,ferrari,55,11,11,9,0,17,10,1:31.991,Finished
British Grand Prix,gasly,alphatauri,10,12,12,12,0,17,17,1:32.072,Finished
British Grand Prix,raikkonen,alfa,7,13,13,17,0,17,12,1:32.139,Finished
British Grand Prix,stroll,aston_martin,18,14,14,15,0,17,12,1:32.210,Finished
British Grand Prix,giovinazzi,alfa,99,15,15,14,0,17,14,1:32.457,Finished
British Grand Prix,tsunoda,alphatauri,22,16,16,16,0,17,14,1:32.270,Finished
British Grand Prix,latifi,williams,6,17,17,18,0,17,17,1:32.143,Finished
British Grand Prix,mick_schumacher,haas,47,18,18,19,0,17,15,1:32.567,Finished
British Grand Prix,mazepin,haas,9,19,19,20,0,17,3,1:33.462,Finished
British Grand Prix,perez,red_bull,11,20,R,5,0,16,6,1:31.465,Vibrations
